number,time,event,station
1,0.8031920390932579,New patient priority B,Region 5
1,0.8031920390932579,Ambulance dispatched,Ambulance 5.1
1,35.78136112613333,Task complete,Ambulance 5.1
2,9.998628835183927,New patient priority B,Region 6
2,9.998628835183927,Ambulance dispatched,Ambulance 6.1
2,44.309903450548184,Task complete,Ambulance 6.1
3,9.924602603270932,New patient priority B,Region 7
3,9.924602603270932,Ambulance dispatched,Ambulance 7.1
3,44.756442243263145,Task complete,Ambulance 7.1
4,24.222575545331715,New patient priority B,Region 5
4,24.222575545331715,Ambulance dispatched,Ambulance 5.2
4,47.25871009903406,Task complete,Ambulance 5.2
5,35.78136112613333,Ambulance return to hub,Ambulance 5.1
5,48.28136112613333,Task complete,Ambulance 5.1
6,44.309903450548184,Ambulance return to hub,Ambulance 6.1
6,56.809903450548184,Task complete,Ambulance 6.1
7,44.756442243263145,Ambulance return to hub,Ambulance 7.1
7,57.256442243263145,Task complete,Ambulance 7.1
8,47.25871009903406,Ambulance return to hub,Ambulance 5.2
8,59.75871009903406,Task complete,Ambulance 5.2
9,36.75366990133157,New patient priority B,Region 7
9,36.75366990133157,Ambulance dispatched,Ambulance 7.4
9,60.110433236437956,Task complete,Ambulance 7.4
10,30.038786108821768,New patient priority A2,Region 6
10,30.038786108821768,Ambulance dispatched,Ambulance 6.2
10,60.393142365539966,Task complete,Ambulance 6.2
11,48.28136112613333,Ambulance return to hub,Ambulance 5.1
11,60.78136112613333,Task complete,Ambulance 5.1
12,38.92786244428273,New patient priority B,Region 6
12,38.92786244428273,Ambulance dispatched,Ambulance 6.3
12,67.32942642928498,Task complete,Ambulance 6.3
13,56.809903450548184,Ambulance return to hub,Ambulance 6.1
13,69.30990345054818,Task complete,Ambulance 6.1
14,57.256442243263145,Ambulance return to hub,Ambulance 7.1
14,69.75644224326314,Task complete,Ambulance 7.1
15,59.75871009903406,Ambulance return to hub,Ambulance 5.2
15,72.25871009903406,Task complete,Ambulance 5.2
16,28.484380850152903,New patient priority A1,Region 4
16,28.484380850152903,Ambulance dispatched,Ambulance 4.1
16,72.3494637550799,Task complete,Ambulance 4.1
17,60.110433236437956,Ambulance return to hub,Ambulance 7.4
17,72.61043323643796,Task complete,Ambulance 7.4
18,60.393142365539966,Ambulance return to hub,Ambulance 6.2
18,72.89314236553997,Task complete,Ambulance 6.2
19,60.78136112613333,Ambulance return to hub,Ambulance 5.1
19,73.28136112613333,Task complete,Ambulance 5.1
20,38.15920423991172,New patient priority A1,Region 4
20,38.15920423991172,Ambulance dispatched,Ambulance 4.2
20,74.22216292646414,Task complete,Ambulance 4.2
21,51.12194231044752,New patient priority B,Region 3
21,51.12194231044752,Ambulance dispatched,Ambulance 3.1
21,79.03329775146611,Task complete,Ambulance 3.1
22,20.272971336009903,New patient priority A1,Region 7
22,20.272971336009903,Ambulance dispatched,Ambulance 7.3
22,79.23529455815543,Task complete,Ambulance 7.3
23,67.32942642928498,Ambulance return to hub,Ambulance 6.3
23,79.82942642928498,Task complete,Ambulance 6.3
24,69.30990345054818,Ambulance return to hub,Ambulance 6.1
24,81.80990345054818,Task complete,Ambulance 6.1
25,69.75644224326314,Ambulance return to hub,Ambulance 7.1
25,82.25644224326314,Task complete,Ambulance 7.1
26,72.25871009903406,Ambulance return to hub,Ambulance 5.2
26,84.75871009903406,Task complete,Ambulance 5.2
27,72.3494637550799,Ambulance return to hub,Ambulance 4.1
27,84.8494637550799,Task complete,Ambulance 4.1
28,72.61043323643796,Ambulance return to hub,Ambulance 7.4
28,85.11043323643796,Task complete,Ambulance 7.4
29,72.89314236553997,Ambulance return to hub,Ambulance 6.2
29,85.39314236553997,Task complete,Ambulance 6.2
30,73.28136112613333,Ambulance return to hub,Ambulance 5.1
30,85.78136112613333,Task complete,Ambulance 5.1
31,74.22216292646414,Ambulance return to hub,Ambulance 4.2
31,86.72216292646414,Task complete,Ambulance 4.2
32,60.270200135733525,New patient priority A2,Region 5
32,60.270200135733525,Ambulance dispatched,Ambulance 5.3
32,90.18741148653953,Task complete,Ambulance 5.3
33,79.03329775146611,Ambulance return to hub,Ambulance 3.1
33,91.53329775146611,Task complete,Ambulance 3.1
34,79.23529455815543,Ambulance return to hub,Ambulance 7.3
34,91.73529455815543,Task complete,Ambulance 7.3
35,79.82942642928498,Ambulance return to hub,Ambulance 6.3
35,92.32942642928498,Task complete,Ambulance 6.3
36,81.80990345054818,Ambulance return to hub,Ambulance 6.1
36,94.30990345054818,Task complete,Ambulance 6.1
37,82.25644224326314,Ambulance return to hub,Ambulance 7.1
37,94.75644224326314,Task complete,Ambulance 7.1
38,84.8494637550799,Ambulance return to hub,Ambulance 4.1
38,97.3494637550799,Task complete,Ambulance 4.1
39,85.11043323643796,Ambulance return to hub,Ambulance 7.4
39,97.61043323643796,Task complete,Ambulance 7.4
40,85.39314236553997,Ambulance return to hub,Ambulance 6.2
40,97.89314236553997,Task complete,Ambulance 6.2
41,14.134973571131095,New patient priority A2,Region 7
41,14.134973571131095,Ambulance dispatched,Ambulance 7.2
41,98.23554117814834,Task complete,Ambulance 7.2
42,86.72216292646414,Ambulance return to hub,Ambulance 4.2
42,99.22216292646414,Task complete,Ambulance 4.2
43,74.09904653932315,New patient priority A1,Region 7
43,74.09904653932315,Ambulance dispatched,Ambulance 7.5
43,100.58625828041308,Task complete,Ambulance 7.5
44,79.93592384261754,New patient priority B,Region 6
44,79.93592384261754,Ambulance dispatched,Ambulance 6.4
44,100.72571047364755,Task complete,Ambulance 6.4
45,63.60268321581849,New patient priority A1,Region 5
45,63.60268321581849,Ambulance dispatched,Ambulance 5.4
45,102.451552253577,Task complete,Ambulance 5.4
46,90.18741148653953,Ambulance return to hub,Ambulance 5.3
46,102.68741148653953,Task complete,Ambulance 5.3
47,91.53329775146611,Ambulance return to hub,Ambulance 3.1
47,104.03329775146611,Task complete,Ambulance 3.1
48,91.73529455815543,Ambulance return to hub,Ambulance 7.3
48,104.23529455815543,Task complete,Ambulance 7.3
49,92.32942642928498,Ambulance return to hub,Ambulance 6.3
49,104.82942642928498,Task complete,Ambulance 6.3
50,54.87834075727282,New patient priority A2,Region 2
50,54.87834075727282,Ambulance dispatched,Ambulance 2.1
50,105.19314037542736,Task complete,Ambulance 2.1
51,94.30990345054818,Ambulance return to hub,Ambulance 6.1
51,106.80990345054818,Task complete,Ambulance 6.1
52,94.75644224326314,Ambulance return to hub,Ambulance 7.1
52,107.25644224326314,Task complete,Ambulance 7.1
53,61.335252997976454,New patient priority A1,Region 4
53,61.335252997976454,Ambulance dispatched,Ambulance 4.3
53,109.47360856692245,Task complete,Ambulance 4.3
54,97.3494637550799,Ambulance return to hub,Ambulance 4.1
54,109.8494637550799,Task complete,Ambulance 4.1
55,78.22745948773597,New patient priority A2,Region 5
55,85.78136112613333,Ambulance dispatched,Ambulance 5.1
55,109.98335747239233,Task complete,Ambulance 5.1
56,97.61043323643796,Ambulance return to hub,Ambulance 7.4
56,110.11043323643796,Task complete,Ambulance 7.4
57,97.89314236553997,Ambulance return to hub,Ambulance 6.2
57,110.39314236553997,Task complete,Ambulance 6.2
58,98.23554117814834,Ambulance return to hub,Ambulance 7.2
58,110.73554117814834,Task complete,Ambulance 7.2
59,99.22216292646414,Ambulance return to hub,Ambulance 4.2
59,111.72216292646414,Task complete,Ambulance 4.2
60,72.8913085128151,New patient priority A2,Region 5
60,72.8913085128151,Ambulance dispatched,Ambulance 5.5
60,112.8004902302967,Task complete,Ambulance 5.5
61,100.58625828041308,Ambulance return to hub,Ambulance 7.5
61,113.08625828041308,Task complete,Ambulance 7.5
62,100.72571047364755,Ambulance return to hub,Ambulance 6.4
62,113.22571047364755,Task complete,Ambulance 6.4
63,102.451552253577,Ambulance return to hub,Ambulance 5.4
63,114.951552253577,Task complete,Ambulance 5.4
64,102.68741148653953,Ambulance return to hub,Ambulance 5.3
64,115.18741148653953,Task complete,Ambulance 5.3
65,104.03329775146611,Ambulance return to hub,Ambulance 3.1
65,116.53329775146611,Task complete,Ambulance 3.1
66,104.23529455815543,Ambulance return to hub,Ambulance 7.3
66,116.73529455815543,Task complete,Ambulance 7.3
67,104.82942642928498,Ambulance return to hub,Ambulance 6.3
67,117.32942642928498,Task complete,Ambulance 6.3
68,105.19314037542736,Ambulance return to hub,Ambulance 2.1
68,117.69314037542736,Task complete,Ambulance 2.1
69,99.03230491206197,New patient priority A2,Region 3
69,99.03230491206197,Ambulance dispatched,Ambulance 3.2
69,118.71274369306639,Task complete,Ambulance 3.2
70,106.80990345054818,Ambulance return to hub,Ambulance 6.1
70,119.30990345054818,Task complete,Ambulance 6.1
71,107.25644224326314,Ambulance return to hub,Ambulance 7.1
71,119.75644224326314,Task complete,Ambulance 7.1
72,109.47360856692245,Ambulance return to hub,Ambulance 4.3
72,121.97360856692245,Task complete,Ambulance 4.3
73,109.8494637550799,Ambulance return to hub,Ambulance 4.1
73,122.3494637550799,Task complete,Ambulance 4.1
74,110.11043323643796,Ambulance return to hub,Ambulance 7.4
74,122.61043323643796,Task complete,Ambulance 7.4
75,110.39314236553997,Ambulance return to hub,Ambulance 6.2
75,122.89314236553997,Task complete,Ambulance 6.2
76,110.73554117814834,Ambulance return to hub,Ambulance 7.2
76,123.23554117814834,Task complete,Ambulance 7.2
77,111.72216292646414,Ambulance return to hub,Ambulance 4.2
77,124.22216292646414,Task complete,Ambulance 4.2
78,113.08625828041308,Ambulance return to hub,Ambulance 7.5
78,125.58625828041308,Task complete,Ambulance 7.5
79,113.22571047364755,Ambulance return to hub,Ambulance 6.4
79,125.72571047364755,Task complete,Ambulance 6.4
80,114.951552253577,Ambulance return to hub,Ambulance 5.4
80,127.451552253577,Task complete,Ambulance 5.4
81,115.18741148653953,Ambulance return to hub,Ambulance 5.3
81,127.68741148653953,Task complete,Ambulance 5.3
82,116.53329775146611,Ambulance return to hub,Ambulance 3.1
82,129.0332977514661,Task complete,Ambulance 3.1
83,116.73529455815543,Ambulance return to hub,Ambulance 7.3
83,129.23529455815543,Task complete,Ambulance 7.3
84,117.32942642928498,Ambulance return to hub,Ambulance 6.3
84,129.82942642928498,Task complete,Ambulance 6.3
85,117.69314037542736,Ambulance return to hub,Ambulance 2.1
85,130.19314037542736,Task complete,Ambulance 2.1
86,118.71274369306639,Ambulance return to hub,Ambulance 3.2
86,131.2127436930664,Task complete,Ambulance 3.2
87,119.30990345054818,Ambulance return to hub,Ambulance 6.1
87,131.80990345054818,Task complete,Ambulance 6.1
88,102.88171238312796,New patient priority A2,Region 2
88,102.88171238312796,Ambulance dispatched,Ambulance 2.2
88,131.93529864242424,Task complete,Ambulance 2.2
89,104.55107942691464,New patient priority A2,Region 5
89,109.98335747239233,Ambulance dispatched,Ambulance 5.1
89,132.24211418369674,Task complete,Ambulance 5.1
90,119.75644224326314,Ambulance return to hub,Ambulance 7.1
90,132.25644224326314,Task complete,Ambulance 7.1
91,88.74581833055754,New patient priority A1,Region 1
91,88.74581833055754,Ambulance dispatched,Ambulance 1.1
91,133.81836301160612,Task complete,Ambulance 1.1
92,121.97360856692245,Ambulance return to hub,Ambulance 4.3
92,134.47360856692245,Task complete,Ambulance 4.3
93,122.3494637550799,Ambulance return to hub,Ambulance 4.1
93,134.8494637550799,Task complete,Ambulance 4.1
94,122.61043323643796,Ambulance return to hub,Ambulance 7.4
94,135.11043323643796,Task complete,Ambulance 7.4
95,122.89314236553997,Ambulance return to hub,Ambulance 6.2
95,135.39314236553997,Task complete,Ambulance 6.2
96,123.23554117814834,Ambulance return to hub,Ambulance 7.2
96,135.73554117814834,Task complete,Ambulance 7.2
97,110.14229675551219,New patient priority B,Region 1
97,110.14229675551219,Ambulance dispatched,Ambulance 1.4
97,135.78419776575117,Task complete,Ambulance 1.4
98,124.22216292646414,Ambulance return to hub,Ambulance 4.2
98,136.72216292646414,Task complete,Ambulance 4.2
99,109.74537902994737,New patient priority A1,Region 1
99,109.74537902994737,Ambulance dispatched,Ambulance 1.3
99,136.87796014992642,Task complete,Ambulance 1.3
100,125.58625828041308,Ambulance return to hub,Ambulance 7.5
100,138.08625828041306,Task complete,Ambulance 7.5
101,125.72571047364755,Ambulance return to hub,Ambulance 6.4
101,138.22571047364755,Task complete,Ambulance 6.4
102,127.451552253577,Ambulance return to hub,Ambulance 5.4
102,139.951552253577,Task complete,Ambulance 5.4
103,127.68741148653953,Ambulance return to hub,Ambulance 5.3
103,140.18741148653953,Task complete,Ambulance 5.3
104,129.0332977514661,Ambulance return to hub,Ambulance 3.1
104,141.5332977514661,Task complete,Ambulance 3.1
105,129.23529455815543,Ambulance return to hub,Ambulance 7.3
105,141.73529455815543,Task complete,Ambulance 7.3
106,129.82942642928498,Ambulance return to hub,Ambulance 6.3
106,142.32942642928498,Task complete,Ambulance 6.3
107,130.19314037542736,Ambulance return to hub,Ambulance 2.1
107,142.69314037542736,Task complete,Ambulance 2.1
108,131.2127436930664,Ambulance return to hub,Ambulance 3.2
108,143.7127436930664,Task complete,Ambulance 3.2
